household_type,income_group,year,federal_tax,individual_income_tax,payroll_tax,corporate_income_tax,excise_tax
all_households,all_quintiles,1979,22.4,11.1,6.9,3.4,1.0
all_households,all_quintiles,1980,22.4,11.8,7.0,2.8,0.8
all_households,all_quintiles,1981,22.6,12.1,7.5,2.2,0.8
all_households,all_quintiles,1982,20.8,11.1,7.6,1.4,0.8
all_households,all_quintiles,1983,20.5,10.3,7.5,1.8,0.9
all_households,all_quintiles,1984,20.8,10.1,7.7,2.0,1.0
all_households,all_quintiles,1985,20.9,10.2,7.9,1.9,0.9
all_households,all_quintiles,1986,21.0,10.4,7.8,1.9,0.9
all_households,all_quintiles,1987,21.8,10.3,8.1,2.4,0.9
all_households,all_quintiles,1988,21.9,10.5,8.2,2.4,0.9
all_households,all_quintiles,1989,21.6,10.3,8.2,2.3,0.8
all_households,all_quintiles,1990,21.7,10.2,8.4,2.2,0.9
all_households,all_quintiles,1991,21.6,9.9,8.7,2.0,1.0
all_households,all_quintiles,1992,21.6,10.0,8.5,2.2,1.0
all_households,all_quintiles,1993,22.1,10.1,8.5,2.5,1.0
all_households,all_quintiles,1994,22.5,10.1,8.6,2.7,1.1
all_households,all_quintiles,1995,22.7,10.3,8.5,2.8,1.0
all_households,all_quintiles,1996,22.9,10.7,8.3,2.9,0.9
all_households,all_quintiles,1997,23.0,11.1,8.2,2.9,0.9
all_households,all_quintiles,1998,22.7,11.0,8.2,2.6,0.9
all_households,all_quintiles,1999,23.1,11.5,8.1,2.5,1.0
all_households,all_quintiles,2000,23.1,11.8,8.0,2.4,0.9
all_households,all_quintiles,2001,21.6,10.5,8.5,1.8,0.9
all_households,all_quintiles,2002,20.8,9.7,8.5,1.6,0.9
all_households,all_quintiles,2003,19.9,8.5,8.4,2.2,0.8
all_households,all_quintiles,2004,20.3,8.8,8.1,2.6,0.8
all_households,all_quintiles,2005,20.8,9.1,7.7,3.3,0.8
all_households,all_quintiles,2006,20.9,9.2,7.5,3.5,0.7
all_households,all_quintiles,2007,20.5,9.4,7.5,3.0,0.6
all_households,all_quintiles,2008,18.5,8.0,8.0,1.9,0.6
all_households,all_quintiles,2009,17.9,7.5,8.3,1.5,0.6
all_households,all_quintiles,2010,18.6,7.9,7.9,2.1,0.6
all_households,all_quintiles,2011,18.3,8.7,6.9,2.0,0.7
all_households,all_quintiles,2012,18.9,9.2,6.7,2.3,0.7
all_households,all_quintiles,2013,20.7,9.6,7.9,2.5,0.7
all_households,all_quintiles,2014,21.2,10.0,7.7,2.7,0.7
all_households,all_quintiles,2015,21.1,10.1,7.8,2.5,0.7
all_households,all_quintiles,2016,20.9,10.0,7.8,2.3,0.7
all_households,all_quintiles,2017,20.8,10.5,7.8,1.8,0.7
all_households,lowest_quintile,1979,6.0,-0.5,3.4,1.5,1.7
